Temp,Humd,Label
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
